Name,Include,ScientificName,UK Conservation Status,What they Eat,Wingspan,UK Breeding Pop.,UK Wintering Pop.,Europe Pop.,BirdFamily,Order,Family,wikiURL,ImageURL,Xoffset,Yoffset,Zoom,imageCredit,ImageInfoURL
Kingfisher,Y,Alcedo atthis,Amber,Fish and aquatic insects,24-26 cm,"3,800-6,400 pairs",,,Kingfishers,Coraciiformes,Alcedinidae,https://en.wikipedia.org/wiki/Kingfisher,https://upload.wikimedia.org/wikipedia/commons/d/d2/Eisvogel_kingfisher.jpg,85,90,1.52,"Frank-2.0, CC0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Eisvogel_kingfisher.jpg
Robin,Y,Erithacus rubecula,Green,"Worms, seeds, fruits, insects and other invertebrates",20-22 cm,"6,700,000 territories",,,Old World flycatchers and chats,Passeriformes,Muscicapidae,https://en.wikipedia.org/wiki/European_robin,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Erithacus_rubecula_with_cocked_head.jpg/1024px-Erithacus_rubecula_with_cocked_head.jpg,55,10,1,"© Francis C. Franklin / CC-BY-SA-3.0, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Erithacus_rubecula_with_cocked_head.jpg
Goldfinch,Y,Carduelis carduelis,Green,Seeds and insects in summer.,21-25.5 cm,1.2 million pairs,,,Finches,Passeriformes,Fringillidae,https://en.wikipedia.org/wiki/European_goldfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Carduelis_carduelis_close_up.jpg/1024px-Carduelis_carduelis_close_up.jpg,0,0,1,"© Francis C. Franklin / CC-BY-SA-3.0, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Carduelis_carduelis_close_up.jpg
Nuthatch,Y,Sitta europaea,Green,"Insects, hazel nuts, acorns, beechmast and other nuts and seed",22.5-27 cm,"220,000 territories",,,Nuthatches,Passeriformes,Sittidae,https://en.wikipedia.org/wiki/Nuthatch,https://upload.wikimedia.org/wikipedia/commons/f/f6/Sitta_europaea_wildlife_2_1.jpg,0,30,1,"Paweł Kuźniar, CC BY-SA 3.0 <http://creativecommons.org/licenses/by-sa/3.0/>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Sitta_europaea_wildlife_2_1.jpg
Blue tit,Y,Cyanistes caeruleus,Green,"Insects, caterpillars, seeds and nuts.",18 cm,"3,600,000 territories",15 million birds,20-44 million pairs,Tits,Passeriformes,Paridae,https://en.wikipedia.org/wiki/Eurasian_blue_tit,https://upload.wikimedia.org/wikipedia/commons/8/86/Eurasian_blue_tit_Lancashire.jpg,25,0,1,"© Francis C. Franklin / CC-BY-SA-3.0, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Eurasian_blue_tit_Lancashire.jpg
Great tit,N,,Green,,,,,,Tits,Passeriformes,Paridae,https://en.wikipedia.org/wiki/Great_tit,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Great_tit_side-on.jpg/1280px-Great_tit_side-on.jpg,,,,,
Coal-tit,N,,Green,,,,,,Tits,Passeriformes,Paridae,https://en.wikipedia.org/wiki/Coal_tit,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Coal_tit_UK09.JPG/1024px-Coal_tit_UK09.JPG,,,,,
Blackbird,Y,Turdus merula,Green,"Blackbird food consists of a variety of insects and worms, but they also eat berries and fruit when in season",34-38.5cm,"5,100,000 pairs",10-15 million birds,,Thrushes,Passeriformes,Turdidae,https://en.wikipedia.org/wiki/Common_blackbird,https://upload.wikimedia.org/wikipedia/commons/a/a9/Common_Blackbird.jpg,0,0,1,"Andreas Trepte, CC BY-SA 2.5 <https://creativecommons.org/licenses/by-sa/2.5>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Common_Blackbird.jpg
Song Thrush,N,,,,,,,,,Passeriformes,Turdidae,https://en.wikipedia.org/wiki/Song_thrush,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Turdus_philomelos_-_Western_Springs_Lakeside_Park.jpg/1280px-Turdus_philomelos_-_Western_Springs_Lakeside_Park.jpg,,,,,
Common Buzzard,N,,,,,,,,,Accipitriformes,Accipitridae,https://en.wikipedia.org/wiki/Common_buzzard,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg/800px-Steppe_buzzard_%28Buteo_buteo_vulpinus%29.jpg,,,,,
Bullfinch,Y,Pyrrhula pyrrhula,Amber,"Seeds, buds and insects (for young).",22-26cm,"190,000",,,Finches,Passeriformes,Fringillidae,https://en.wikipedia.org/wiki/Eurasian_bullfinch,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Bullfinch_male.jpg/1280px-Bullfinch_male.jpg,95,0,1,"© Francis C. Franklin / CC-BY-SA-3.0, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Bullfinch_male.jpg
Treecreeper,N,,,,,,,,,Passeriformes,Certhiidae,https://en.wikipedia.org/wiki/Treecreeper,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Certhia-americana-001.jpg/800px-Certhia-americana-001.jpg,,,,,
Greater-spotted<br>Woodpecker,Y,Dendrocopos major,Green,"Insects, seeds and nuts",34-39cm,,,,Woodpeckers,Piciformes,Picidae,https://en.wikipedia.org/wiki/Great_spotted_woodpecker,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Hackspettshona.jpg/800px-Hackspettshona.jpg,0,10,1,"Hangsna, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Hackspettshona.jpg